,wl,pure,salty,cdom,bbw,Kd
158,616.0,0.265465,0.2669,0.3777031583623339,0.0005331819527327752,0.2670846978991244
159,618.0,0.267735,0.2699085,0.37797591863482927,0.0005260659729628969,0.2693342603580664
160,620.0,0.27292,0.274824,0.38022322456186436,0.0005189499931930186,0.27450018029698936
161,622.0,0.27703,0.2786645,0.38146140843528636,0.0005121259832776559,0.2785913005431992
162,624.0,0.28051,0.282211,0.3824698437228037,0.0005053019731349195,0.2820520192143597
163,626.0,0.28453999999999996,0.28617449999999994,0.38395794405135,0.0004986179701518267,0.2860632927976836
164,628.0,0.28969,0.2913245,0.38669366221554957,0.0004920739738736302,0.29119530626022505
165,630.0,0.29125500000000004,0.29281950000000007,0.3858339892106636,0.0004855299775954336,0.29274086735505167
166,632.0,0.29682000000000003,0.29838450000000005,0.3891024532894125,0.0004792499762515945,0.2982886073631543
167,634.0,0.30059,0.302018,0.39049611904208725,0.0004729699749077554,0.3020406080594841
168,636.0,0.30389999999999995,0.30532799999999993,0.3916215864993704,0.00046681797834935423,0.3053327781959184
169,638.0,0.30852999999999997,0.30995799999999996,0.3941209902573103,0.0004607939861216437,0.3099456627898774
170,640.0,0.31189500000000003,0.312987,0.3950719986238988,0.00045476999389393313,0.31329309937461414
171,642.0,0.31954,0.3206985,0.4007568127867205,0.000448981998488307,0.3209223002200963
172,644.0,0.32486000000000004,0.326085,0.40416666600115314,0.00044319400331005454,0.3262257579283714
173,646.0,0.32987500000000003,0.33089700000000005,0.4070508227986104,0.0004375200078357011,0.3312243970572056
174,648.0,0.33677500000000005,0.33752750000000004,0.4118010782143339,0.0004319600120652467,0.3381086811141914
175,650.0,0.34181,0.3425625,0.4150022570342514,0.0004264000162947923,0.3431274816905971
176,652.0,0.35369999999999996,0.35431599999999996,0.4249672130604295,0.00042105600596187287,0.3550030292727418
177,654.0,0.365955,0.3662357,0.43514252839466255,0.00041571199562895345,0.3672433308988305
178,656.0,0.379285,0.37916215,0.4463676627397497,0.00041047398690352566,0.3805588188226643
179,658.0,0.393295,0.39250050000000003,0.4580467027180244,0.00040534198024033685,0.3945544338945155
180,660.0,0.40973,0.4092015,0.47312936120670757,0.00040020997357714805,0.41097500325686026
181,662.0,0.41886999999999996,0.4187454,0.4810948766896734,0.0003952739762098645,0.42010037211814427
182,664.0,0.42607,0.42641475,0.48722481262521794,0.0003903379783878336,0.42728552345825943
183,666.0,0.431135,0.4317475,0.4910561568294387,0.000385495979571715,0.4323357805860106
184,668.0,0.436055,0.43639835000000005,0.49424267087483853,0.00038074798067100346,0.4372412958092737
185,670.0,0.4393,0.4398425,0.49625863950377735,0.0003759999817702919,0.44047169239844836
186,672.0,0.44555500000000003,0.44576220000000005,0.5007854200564072,0.00037143597728572786,0.44671281363995685
187,674.0,0.44896,0.44923335000000003,0.5028980419127301,0.0003668719728011638,0.45010376238759614
188,676.0,0.45371500000000003,0.45365165,0.5059913559484324,0.0003623919735673553,0.45484502696206697
189,678.0,0.462725,0.4621895,0.5132369340041544,0.0003579959795843024,0.4638417214944993
190,680.0,0.46692,0.4660485,0.5158355683678639,0.0003535999856012495,0.4680231809980692
191,682.0,0.47569999999999996,0.47442599999999996,0.5229838212700099,0.00034936799784190953,0.47679030995992644
192,684.0,0.48416,0.482683,0.5300419243911408,0.0003451360098551959,0.4852373908015168
193,686.0,0.49366,0.4917105,0.5379001283816801,0.00034098401670235035,0.49472471983411015
194,688.0,0.504365,0.5020129999999999,0.5470622023935577,0.0003369120183833729,0.5054172946590264
195,690.0,0.51828,0.515389,0.5593259336234074,0.0003328400200643955,0.5193199021029371
196,692.0,0.5328849999999999,0.5294549999999999,0.5723071268670401,0.00032891602040763246,0.5339129318848499
197,694.0,0.550705,0.546872255,0.5886663590849199,0.0003249920209782431,0.5517209618162747
198,696.0,0.572105,0.56746533,0.6082275339783662,0.00032114001226091204,0.5731092017704816
199,698.0,0.59365,0.58827078,0.6280265615762213,0.000317359995165134,0.5946426040151119
200,700.0,0.6126550000000001,0.60673818,0.645512387831722,0.000313579978069356,0.613635936880928
201,702.0,0.6509,0.6443114950000001,0.6821283642293251,0.0003099399850725604,0.6518697786930878
202,704.0,0.6924600000000001,0.68519967,0.72208283740124,0.0003062999921894516,0.693418549037656
203,706.0,0.737925,0.7303284600000001,0.7663009787534297,0.0003027240047686064,0.7388724662187377
204,708.0,0.7840499999999999,0.775915615,0.8109999691008449,0.00029921202235527744,0.7849865404931239
205,710.0,0.8478399999999999,0.8393020299999999,0.8735201483116659,0.0002957000399419485,0.8487655982679453
206,712.0,0.907455,0.89824475,0.9316180199603261,0.0002923120277955604,0.908370016969328
207,714.0,0.9756699999999999,0.96619039,0.9987396709891033,0.00028892401587654604,0.9765744251497197
208,716.0,1.0584500000000001,1.048566665,1.080312301378068,0.00028559800705352245,1.0593440209608243
209,718.0,1.14711,1.136822835,1.167784668823177,0.0002823340008717423,1.1479938065604745
210,720.0,1.2581849999999999,1.24776263,1.2779600134223186,0.0002790699946899622,1.2590585903738352
211,722.0,1.358515,1.3476888,1.3771406073691073,0.00027592199626269576,1.3593787363690948
212,724.0,1.4709649999999999,1.460003665,1.4887283046542392,0.00027277399794911616,1.4718188821201121
213,726.0,1.6094549999999999,1.5978212799999998,1.6258367057742216,0.0002696799929253757,1.6102991967986517
214,728.0,1.743905,1.730255665,1.7575793874472927,0.00026663998141884804,1.744739680462564
215,730.0,1.9797799999999999,1.962167405,1.9888165023363555,0.0002635999699123204,1.9806051641195923
216,732.0,2.078835,2.0582665500000004,2.084257678778756,0.0002606639754958451,2.079650973385578
217,734.0,2.17996,2.15918918,2.184538585522725,0.0002577279810793698,2.1807667826514665
218,736.0,2.265355,2.24854576,2.2732692864703394,0.0002548439836118632,2.2661527546867495
219,738.0,2.3341950000000002,2.323966565,2.348079665426817,0.0002520119830933254,2.3349838894914514
220,740.0,2.4058450000000002,2.4037415,2.427259245856009,0.0002491799825747876,2.406625024296151
221,742.0,2.45259,2.4575381249999997,2.4804752156419285,0.0002464439894538373,2.453361459639045
222,744.0,2.499925,2.5106481250000003,2.533018896856166,0.00024370799656026065,2.5006878949826516
223,746.0,2.53287,2.547084725,2.568903160531043,0.00024101799931486312,2.5336244743094247
224,748.0,2.5512750000000004,2.5688469250000003,2.5901266614383776,0.00023837399771764467,2.552021197619365
