/* DATA DESCRIPTION:
	BIOSOPE_STB5 * LATITUDE: -18.750200 * LONGITUDE: -125.548400 * DATE/TIME: 2004-11-07T19:39:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB6 * LATITUDE: -20.432100 * LONGITUDE: -122.932900 * DATE/TIME: 2004-11-08T21:00:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB7 * LATITUDE: -22.033000 * LONGITUDE: -120.331400 * DATE/TIME: 2004-11-09T21:15:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB8 * LATITUDE: -23.527400 * LONGITUDE: -117.863700 * DATE/TIME: 2004-11-10T21:07:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB11 * LATITUDE: -27.763500 * LONGITUDE: -107.272300 * DATE/TIME: 2004-11-20T17:19:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB12 * LATITUDE: -28.522800 * LONGITUDE: -104.305300 * DATE/TIME: 2004-11-21T17:11:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB13 * LATITUDE: -29.215900 * LONGITUDE: -101.477900 * DATE/TIME: 2004-11-22T16:53:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB14 * LATITUDE: -30.033000 * LONGITUDE: -98.394200 * DATE/TIME: 2004-11-23T16:50:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB15 * LATITUDE: -30.774700 * LONGITUDE: -95.446200 * DATE/TIME: 2004-11-24T16:48:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB17 * LATITUDE: -32.395700 * LONGITUDE: -86.785600 * DATE/TIME: 2004-12-01T16:50:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
