station,wavelength,measured_reflectance_percent
C1024000,683,7.639999999999999e-4
C1024000,705,3.8399999999999996e-4
C1024000,779,NA
C1024000,866,NA
C1025000,411,0.044231999999999994
C1025000,443,0.03871
C1025000,456,0.037323
C1025000,490,0.029466000000000003
C1025000,509,0.015538000000000001
C1025000,532,0.011456
C1025000,556,0.008431
C1025000,559,NA
C1025000,590,0.0026850000000000003
C1025000,619,NA
C1025000,665,5.27e-4
C1025000,683,4.22e-4
C1025000,705,2.25e-4
C1025000,779,NA
C1025000,866,NA
C1026000,411,0.036009
C1026000,443,0.030485
C1026000,456,0.029588999999999997
C1026000,490,0.024158
C1026000,509,0.013744000000000001
C1026000,532,0.010156
C1026000,556,0.007141999999999999
C1026000,559,NA
C1026000,590,0.002251
C1026000,619,NA
C1026000,665,6.87e-4
C1026000,683,5.99e-4
C1026000,705,2.87e-4
C1026000,779,NA
C1026000,866,NA
C1027000,411,NA
C1027000,443,NA
C1027000,456,NA
C1027000,490,NA
C1027000,509,NA
C1027000,532,NA
C1027000,556,NA
C1027000,559,NA
C1027000,590,NA
C1027000,619,NA
C1027000,665,NA
C1027000,683,NA
C1027000,705,NA
C1027000,779,NA
C1027000,866,NA
C1028000,411,0.033236
C1028000,443,0.029221
C1028000,456,0.028981
C1028000,490,0.025299000000000002
C1028000,509,0.013237
C1028000,532,0.009643
C1028000,556,0.0069630000000000004
C1028000,559,NA
C1028000,590,0.002086
C1028000,619,NA
C1028000,665,NA
C1028000,683,NA
C1028000,705,NA
C1028000,779,NA
C1028000,866,NA
C1029000,411,0.044961
C1029000,443,0.0417
C1029000,456,0.039885000000000004
C1029000,490,0.031781000000000004
C1029000,509,0.014988999999999999
C1029000,532,0.010458
C1029000,556,0.007314
C1029000,559,NA
C1029000,590,0.002087
C1029000,619,NA
C1029000,665,NA
C1029000,683,NA
C1029000,705,NA
C1029000,779,NA
C1029000,866,NA
C1030000,411,0.02886
C1030000,443,0.025761
C1030000,456,0.025962
C1030000,490,0.023978000000000003
C1030000,509,0.013172999999999999
C1030000,532,0.010676000000000001
C1030000,556,0.00843
C1030000,559,NA
C1030000,590,0.002482
C1030000,619,NA
C1030000,665,4.85e-4
C1030000,683,4.6499999999999997e-4
C1030000,705,1.78e-4
C1030000,779,NA
C1030000,866,NA
C1031000,411,0.02714
C1031000,443,0.023822
C1031000,456,0.023843999999999997
C1031000,490,0.020419
C1031000,509,0.011554
C1031000,532,0.008579
C1031000,556,0.006235000000000001
C1031000,559,NA
C1031000,590,0.0020150000000000003
C1031000,619,NA
C1031000,665,5.45e-4
C1031000,683,5.48e-4
C1031000,705,2.3199999999999997e-4
C1031000,779,NA
C1031000,866,NA
C1032000,411,NA
C1032000,443,NA
C1032000,456,NA
C1032000,490,NA
C1032000,509,NA
C1032000,532,NA
C1032000,556,NA
C1032000,559,NA
C1032000,590,NA
C1032000,619,NA
C1032000,665,NA
C1032000,683,NA
C1032000,705,NA
C1032000,779,NA
C1032000,866,NA
C1033000,411,0.04141
C1033000,443,0.03759
C1033000,456,0.036877
C1033000,490,0.033039
C1033000,509,0.016902
C1033000,532,0.012306999999999998
C1033000,556,0.008559
C1033000,559,NA
C1033000,590,0.002714
C1033000,619,NA
C1033000,665,7.430000000000001e-4
C1033000,683,8.759999999999999e-4
C1033000,705,3.8100000000000005e-4
C1033000,779,NA
C1033000,866,NA
C1034000,411,0.04344699999999999
C1034000,443,0.035219
C1034000,456,0.034423
C1034000,490,0.02888
C1034000,509,0.015669
C1034000,532,0.011560999999999998
C1034000,556,0.008399
C1034000,559,NA
C1034000,590,0.002634
C1034000,619,NA
C1034000,665,0.001135
C1034000,683,8.66e-4
C1034000,705,3.62e-4
C1034000,779,NA
C1034000,866,NA
C1035000,411,0.029830000000000002
C1035000,443,0.024106000000000002
C1035000,456,0.022798
C1035000,490,0.017739
C1035000,509,0.008904
C1035000,532,0.00624
C1035000,556,0.004261
C1035000,559,NA
C1035000,590,0.001338
C1035000,619,NA
C1035000,665,2.8000000000000003e-4
C1035000,683,1.77e-4
C1035000,705,1.35e-4
C1035000,779,NA
C1035000,866,NA
C1036000,411,0.037959
C1036000,443,0.032527
C1036000,456,0.032473999999999996
C1036000,490,0.028902999999999998
C1036000,509,0.016319999999999998
C1036000,532,0.012394
C1036000,556,0.008995999999999999
C1036000,559,NA
C1036000,590,0.0026750000000000003
C1036000,619,NA
C1036000,665,6.090000000000001e-4
C1036000,683,6.3e-4
C1036000,705,2.4400000000000002e-4
C1036000,779,NA
C1036000,866,NA
C1037000,411,0.031428
C1037000,443,0.026873
C1037000,456,0.026743000000000003
C1037000,490,0.023734
C1037000,509,0.013245
C1037000,532,0.009675
C1037000,556,0.006943
C1037000,559,NA
C1037000,590,0.001984
C1037000,619,NA
C1037000,665,4.3700000000000005e-4
C1037000,683,4.49e-4
C1037000,705,2.1999999999999998e-4
C1037000,779,NA
C1037000,866,NA
C1038000,411,0.037682
C1038000,443,0.032518
C1038000,456,0.03191
C1038000,490,0.02704
C1038000,509,0.014953000000000001
C1038000,532,0.011308
C1038000,556,0.008426
C1038000,559,NA
C1038000,590,0.002969
C1038000,619,NA
C1038000,665,7.23e-4
C1038000,683,6.23e-4
C1038000,705,2.71e-4
C1038000,779,NA
C1038000,866,NA
C1039000,411,0.040261
C1039000,443,0.033523
C1039000,456,0.032304
C1039000,490,0.026448
C1039000,509,0.015548
C1039000,532,0.011389
C1039000,556,0.008578
C1039000,559,NA
C1039000,590,0.0028199999999999996
C1039000,619,NA
C1039000,665,0.0010789999999999999
C1039000,683,8.95e-4
C1039000,705,3.05e-4
C1039000,779,NA
C1039000,866,NA
C1040000,411,0.033565
C1040000,443,0.029828
C1040000,456,0.028845
C1040000,490,0.024207
C1040000,509,0.011754
C1040000,532,0.008915
C1040000,556,0.005984000000000001
C1040000,559,NA
C1040000,590,0.001316
C1040000,619,NA
C1040000,665,2.0299999999999997e-4
C1040000,683,2.11e-4
C1040000,705,1.0999999999999999e-4
C1040000,779,NA
C1040000,866,NA
C1041000,411,0.031998
C1041000,443,0.029242
C1041000,456,0.029025
C1041000,490,0.025190999999999998
C1041000,509,0.012988
C1041000,532,0.009319
C1041000,556,0.006299
C1041000,559,NA
C1041000,590,0.001684
C1041000,619,NA
C1041000,665,NA
C1041000,683,NA
C1041000,705,NA
C1041000,779,NA
C1041000,866,NA
C1042000,411,0.033569
C1042000,443,0.029141
C1042000,456,0.028894000000000003
C1042000,490,0.024455
C1042000,509,0.013309
C1042000,532,0.009914
C1042000,556,0.007463
C1042000,559,NA
C1042000,590,0.002417
C1042000,619,NA
C1042000,665,4.1799999999999997e-4
C1042000,683,4.5400000000000003e-4
C1042000,705,2.3199999999999997e-4
C1042000,779,NA
C1042000,866,NA
C1043000,411,0.025613999999999998
C1043000,443,0.023065000000000002
C1043000,456,0.022754
C1043000,490,0.019028
C1043000,509,0.009692
C1043000,532,0.006535999999999999
C1043000,556,0.004273
C1043000,559,NA
C1043000,590,8.939999999999999e-4
C1043000,619,NA
C1043000,665,NA
C1043000,683,NA
C1043000,705,NA
C1043000,779,NA
C1043000,866,NA
C1044000,411,NA
C1044000,443,NA
C1044000,456,NA
C1044000,490,NA
C1044000,509,NA
C1044000,532,NA
C1044000,556,NA
C1044000,559,NA
C1044000,590,NA
C1044000,619,NA
C1044000,665,NA
C1044000,683,NA
C1044000,705,NA
C1044000,779,NA
C1044000,866,NA
C1045000,411,NA
C1045000,443,NA
C1045000,456,NA
C1045000,490,NA
C1045000,509,NA
C1045000,532,NA
C1045000,556,NA
C1045000,559,NA
C1045000,590,NA
C1045000,619,NA
C1045000,665,NA
C1045000,683,NA
C1045000,705,NA
C1045000,779,NA
C1045000,866,NA
C1046000,411,0.023580999999999998
C1046000,443,0.020444
C1046000,456,0.020577
C1046000,490,0.018777
C1046000,509,0.011448
C1046000,532,0.008812
C1046000,556,0.006395
C1046000,559,NA
C1046000,590,0.0018709999999999998
C1046000,619,NA
C1046000,665,3.5000000000000005e-4
C1046000,683,3.65e-4
C1046000,705,1.81e-4
C1046000,779,NA
C1046000,866,NA
C2003000,411,0.061535
C2003000,443,0.073971
C2003000,456,0.08327299999999999
C2003000,490,0.099058
C2003000,509,NA
C2003000,532,0.115876
C2003000,556,NA
C2003000,559,0.101411
C2003000,590,NA
C2003000,619,0.037333
C2003000,665,0.023420999999999997
C2003000,683,0.02357
C2003000,705,0.01428
C2003000,779,0.002948
C2003000,866,8.91e-4
C2004000,411,0.035651999999999996
C2004000,443,0.039938
C2004000,456,0.044103
C2004000,490,0.049591
C2004000,509,NA
C2004000,532,0.044627999999999994
C2004000,556,NA
C2004000,559,0.034236
C2004000,590,NA
C2004000,619,0.00741
C2004000,665,0.0048070000000000005
C2004000,683,0.004749
C2004000,705,0.002641
C2004000,779,NA
C2004000,866,NA
C2005000,411,NA
C2005000,443,NA
C2005000,456,NA
C2005000,490,NA
C2005000,509,NA
C2005000,532,NA
C2005000,556,NA
C2005000,559,NA
C2005000,590,NA
C2005000,619,NA
C2005000,665,NA
C2005000,683,NA
C2005000,705,NA
C2005000,779,NA
C2005000,866,NA
C2006000,411,0.029719000000000002
