station,s_cdom_nm1,s_nap_nm1
C3002000,0.019859671304459172,0.011739436815412358
C3003000,0.018111172676075295,0.011850862673537903
C3004000,0.01840689883220836,0.01179109721454658
C3005000,0.01939120760251226,0.011792562688091599
C3006000,0.020802557224052488,0.010912026834940589
C3007000,NA,0.01334676157926624
C3008000,0.021237449226998825,0.01297473801127876
C3009000,0.023637722262936346,0.01121720309079669
C3010000,0.02337873946146395,0.012018164506767334
C3011000,0.02120294564732994,0.011283206672081318
C3012000,0.020506764160859347,0.01153890120752446
C3013000,0.018835790791988525,0.011474281678489243
C3014000,0.021435044208014804,0.011154406876722266
C3015000,0.01677013487178045,0.011258418270372926
C3016000,0.017904353480203142,0.011648279276286195
C3017000,0.017538672590175157,0.01177027015757223
C3018000,0.019090133085550867,0.011563344100378367
C3019000,0.018996624134378665,0.01182381815149629
C3020000,0.018813561815298762,0.011617549853420471
C3021000,0.019727652576852786,0.012406383069394988
C3022000,0.019770200545185586,0.012328486066004053
C3023000,0.021980380400794437,0.012745737359066391
C3024000,0.020652662048226366,0.011830690062344837
C3025000,0.017100882848404688,0.010618149090600932
C3026000,0.01764201601406141,0.010847326695359589
C3027000,0.018486142378689605,0.011168503917564123
C3028000,0.019254244353474708,0.015306513182787723
C3029000,0.01828037643513507,0.011518177778340698
C3030000,0.019746108615066163,0.01309045172965393
C3031000,0.02014289359295892,0.013400939892458899
C3032000,0.01686359570609378,0.011793556606055926
C3033000,0.01745736932764356,0.012429391681364628
C3034000,0.017199988563975147,0.01232041357163348
C3035000,0.016115787382413052,0.010689783735908415
C3036000,0.017277356747776643,0.011394776131930483
C3037000,0.017737537849006547,0.012684883100269011
C3038000,0.018105769060265006,0.012946759938564706
C3039000,0.018035876803099905,0.013705534621907758
C4001000,NA,0.011095778845683198
C4001008,NA,0.011267569619180401
C4002000,0.011424416557605023,0.011989462488038371
C4002025,NA,0.013230362520577606
C4003000,0.013974861273763928,NA
C4003065,NA,0.013657667052101181
C4004000,0.019642169461361984,0.01214411033016848
C4004060,NA,0.011437793804192294
C4005000,0.01837849677794036,0.01085505158696606
C4005060,NA,0.011813982333282687
C4007000,0.012921740453781664,0.011657598018098505
C4007015,NA,0.012773688605526662
C4008000,0.015697076996462975,NA
C4008030,NA,0.014145441817946067
C4008045,NA,0.013537646034985541
C4009000,0.016032800668428427,NA
C4009025,NA,0.014797274916245934
C4010000,0.016447998305795988,NA
C4010004,NA,0.014244499383496272
C4010060,NA,0.011601433097309632
C4011000,0.01898949129957587,0.012464578254838014
C4011060,NA,0.012950602919980328
C4012000,0.013275265104988707,0.01144390503645667
C4013000,0.016593887585467905,0.01191993821543082
C4014000,0.016130021697522673,NA
C4014020,NA,0.009865518306567055
C4015000,0.014338144352871533,0.011411910017299812
C4015050,NA,0.010082175360299511
C4016000,0.017843371111437776,NA
C4016070,NA,0.012460852386060635
C4017000,0.016023883388782405,0.012611626864679207
C4017070,NA,0.009202950841649255
C4018000,0.01706265241382501,0.012861288490919243
C4018070,NA,0.011115699469245793
C4019000,0.01557030127205393,0.012508537937647907
C4019060,NA,0.010677637197569747
C4020000,0.01677890373538172,0.01205754923191644
C4021000,0.016713680861262778,0.012351695281562722
C4021030,NA,0.013196172349164688
C4022000,0.016677185401489582,0.012864641754785775
C4022040,NA,0.013669811327977625
