station,pheopigment_mg_m3,chlorophyll_a_mg_m3,chlorophyll_c_mg_m3,chlorophyll_b_mg_m3,peridinin_mg_m3,caroten_mg_m3,lutein_mg_m3,hexanoyloxyfucoxanthin_19_mg_m3,butanoyloxyfucoxanthin_19_mg_m3,fucoxanthin_mg_m3,alloxanthin_mg_m3,zeaxanthin_mg_m3,neoxanthin_mg_m3,violaxanthin_mg_m3,diatoxanthin_mg_m3,diadinoxanthin_mg_m3,prasixanthin_mg_m3
C6093000,29.752155,6.871363,0.876152,0,0.262003,0.169369,0,0,0,2.05673,0.038555,0,0,0,0.203749,0.200897,0
C6094000,16.494518,5.618866,0.506484,0.35705,0.161356,0.155939,0,0,0,1.608013,0.154443,0.091308,0,0,0.252753,0.154737,0
C6095000,6.869332,2.871255,0.235495,0.269643,0.081688,0.076801,0,0.051269,0,0.737319,0.080694,0.067556,0,0,0.151282,0.072282,0
C6096000,1.648397,3.106431,0.265877,0.347585,0.173945,0.087921,0,0,0.219962,0.681674,0.030324,0.115553,0.036048,0,0.217927,0.094024,0
C6097000,1.516792,2.540528,0.239547,0.272177,0.10732,0.07505,0,0.104382,0.02437,0.470741,0.023591,0.1042,0.031826,0,0.201243,0.065901,0
C6098000,8.546193,8.703023,0.847352,1.062399,0.160334,0.253514,0,0.081708,0,2.508979,0.399486,0.142171,0.107455,0.169139,0.139894,0.250189,0
C6099000,2.716761,4.100126,0.472977,0.509291,0.091344,0.11303,0,0.234271,0.065482,1.002737,0.027414,0.138769,0.054831,0,0.34657,0.107151,0
C6100000,2.204504,3.788395,0.465812,0.306404,0.081067,0.088077,0,0.042619,0,1.299012,0.127737,0,0,0,0.112503,0.100555,0
C6101000,7.060904,3.965674,0.399929,0.271073,0.088579,0.095828,0,0.034655,0,1.198303,0.066041,0.031335,0,0,0.231661,0.102588,0
C6102000,22.936578,4.555363,0.48992,0,0.093618,0.111984,0,0,0.089667,1.805114,0.111959,0,0.034681,0,0.026784,0.170789,0
C6103000,16.850942,4.448872,0.527869,0,0.216759,0.090509,0,0.06339,0,1.664585,0.076792,0,0.026207,0,0.174179,0.157953,0
C6104000,13.463487,5.644381,0.595795,0,0.230382,0.105648,0,0,0,1.895537,0.061113,0,0,0,0.221895,0.203019,0
C6105000,11.483886,4.687389,0.511739,0.173688,0.17824,0.079324,0,0.040145,0,1.501409,0.039862,0.017161,0,0,0.206106,0.158648,0
C6106000,34.962704,5.251261,0.417434,0,0.128487,0.10383,0,0.122423,0,1.809168,0.126492,0,0.037466,0,0.267729,0.17844,0
C6107000,11.112771,4.903884,0.615065,0.432403,0.099077,0.102363,0,0.227943,0,1.586832,0.053965,0.044376,0,0.004932,0.235206,0.220446,0
C6108000,10.147536,4.562714,0.513934,0.438952,0.129507,0.101284,0,0.25527,0,1.663739,0.059051,0.055566,0.036952,0.016767,0.192702,0.227151,0
C6109000,5.675554,3.563308,0.402567,0.531724,0.084219,0.076034,0,0.042211,0,1.007832,0.048659,0.064444,0.018709,0.106819,0.157387,0.161431,0
C6110000,3.361456,4.433316,0.486043,0.412744,0.081269,0.087345,0,0.164995,0,1.398399,0.132297,0.065049,0,0,0.032268,0.144395,0
C6111000,4.216826,5.723673,0.690189,0.461334,0.092112,0.113012,0,0.197575,0,1.977821,0.173048,0.073049,0,0,0.036967,0.206503,0
C6112000,7.475281,3.932499,0.412283,0.280285,0.116402,0.091833,0,0,0,1.378542,0.051012,0.032694,0,0,0.228822,0.135078,0
C6113000,12.977864,4.257087,0.456604,0.111585,0.091331,0.099987,0,0.054108,0,1.584119,0.065933,0.025238,0.052079,0.037759,0.214022,0.166231,0
C6114000,13.962595,4.61102,0.509828,0.079854,0.104329,0.112689,0,0.048531,0,1.539196,0.039304,0,0,0,0.221948,0.171,0
C6115000,16.916224,5.138317,0.575031,0.070416,0.245559,0.109749,0,0,0,1.926762,0.041686,0,0.023777,0,0.207167,0.175937,0
C6116000,15.736582,5.541776,0.680418,0,0.109797,0.113149,0,0.052438,0,2.067621,0.043701,0,0.024209,0,0.19581200000000001,0.180482,0
C6117000,8.418102,3.432063,0.36497,0,0.082547,0.061719,0,0,0,1.261666,0.031657,0,0,0,0.161686,0.11893,0
C6118000,5.484675,2.627594,0.271721,0,0.128794,0.053338000000000003,0,0,0,0.912462,0,0,0,0,0.156158,0.089129,0
C6119000,14.480314,3.996259,0.4306,0,0.248377,0.069882,0,0.045599,0,1.53621,0.062262,0,0,0,0.167226,0.1491,0
C6120000,7.159521,5.02084,0,0,0,0.010858,0,0,0,1.375772,0.117077,0,0,0,0,0.159627,0
C6121000,26.930833,4.070107,0.343793,0,0.15716,0.079141,0,0.144173,0,1.677022,0.130539,0.045349,0.048124,0,0.238995,0.180075,0
C6122000,0,25.054888,3.394511,0.974101,4.984863,1.211644,0.433627,0.182836,0,0.721307,0.080607,0.864055,0,0,0.217079,1.715189,0
C6123000,12.836976,18.08117,1.349715,1.321059,1.820472,1.064259,0.049476,0,0,0.626218,0,0.770871,0.145908,0.100695,0.108926,0.612812,0
C6124000,3.846921,5.812419,0.542879,0.622846,0.077428,0.421812,0.230666,0,0,0.337202,0.069492,0.809706,0,0,0.059536,0.092306,0
C6125000,1.974231,5.535241,0.24213199999999999,0.476585,0.321833,0.353692,0.190839,0,0,0.307027,0,0.791017,0,0,0.09381,0.07325,0
C6126000,6.023108,2.63838,0.37382,0.407717,0.150879,0.167782,0.087496,0,0,0.150188,0,0.402617,0,0,0.075329,0.030681,0
