wl [nm]	refractive_index 	+/- error 
at T=20.0 degC, S=200.0 PSU, depol.ratio=0.039, Theta=90.0 deg
736.0	   1.3656453136	   0.0005000000
738.0	   1.3655991473	   0.0005000000
740.0	   1.3655532380	   0.0005000000
742.0	   1.3655075832	   0.0005000000
744.0	   1.3654621805	   0.0005000000
746.0	   1.3654170275	   0.0005000000
748.0	   1.3653721218	   0.0005000000
750.0	   1.3653274611	   0.0005000000
752.0	   1.3652830430	   0.0005000000
754.0	   1.3652388653	   0.0005000000
756.0	   1.3651949257	   0.0005000000
758.0	   1.3651512221	   0.0005000000
760.0	   1.3651077522	   0.0005000000
762.0	   1.3650645139	   0.0005000000
764.0	   1.3650215051	   0.0005000000
766.0	   1.3649787236	   0.0005000000
768.0	   1.3649361674	   0.0005000000
770.0	   1.3648938345	   0.0005000000
772.0	   1.3648517228	   0.0005000000
774.0	   1.3648098303	   0.0005000000
776.0	   1.3647681551	   0.0005000000
778.0	   1.3647266953	   0.0005000000
780.0	   1.3646854489	   0.0005000000
782.0	   1.3646444141	   0.0005000000
784.0	   1.3646035889	   0.0005000000
786.0	   1.3645629715	   0.0005000000
788.0	   1.3645225602	   0.0005000000
790.0	   1.3644823531	   0.0005000000
792.0	   1.3644423485	   0.0005000000
794.0	   1.3644025446	   0.0005000000
796.0	   1.3643629396	   0.0005000000
798.0	   1.3643235320	   0.0005000000
800.0	   1.3642843199	   0.0005000000
802.0	   1.3642543199	   0.0005000000
804.0	   1.3642263199	   0.0005000000
806.0	   1.3641973199	   0.0005000000
808.0	   1.3641693199	   0.0005000000
810.0	   1.3641423199	   0.0005000000
812.0	   1.3641143199	   0.0005000000
814.0	   1.3640873199	   0.0005000000
816.0	   1.3640593199	   0.0005000000
818.0	   1.3640323199	   0.0005000000
820.0	   1.3640053199	   0.0005000000
822.0	   1.3639783199	   0.0005000000
824.0	   1.3639523199	   0.0005000000
826.0	   1.3639253199	   0.0005000000
828.0	   1.3638993199	   0.0005000000
830.0	   1.3638723199	   0.0005000000
832.0	   1.3638463199	   0.0005000000
834.0	   1.3638203199	   0.0005000000
836.0	   1.3637943199	   0.0005000000
838.0	   1.3637683199	   0.0005000000
840.0	   1.3637423199	   0.0005000000
842.0	   1.3637163199	   0.0005000000
844.0	   1.3636903199	   0.0005000000
846.0	   1.3636653199	   0.0005000000
848.0	   1.3636393199	   0.0005000000
850.0	   1.3636143199	   0.0005000000
852.0	   1.3635893199	   0.0005000000
854.0	   1.3635643199	   0.0005000000
856.0	   1.3635393199	   0.0005000000
858.0	   1.3635143199	   0.0005000000
860.0	   1.3634893199	   0.0005000000
862.0	   1.3634643199	   0.0005000000
864.0	   1.3634393199	   0.0005000000
866.0	   1.3634143199	   0.0005000000
868.0	   1.3633903199	   0.0005000000
870.0	   1.3633653199	   0.0005000000
872.0	   1.3633413199	   0.0005000000
874.0	   1.3633173199	   0.0005000000
876.0	   1.3632923199	   0.0005000000
878.0	   1.3632683199	   0.0005000000
880.0	   1.3632443199	   0.0005000000
882.0	   1.3632203199	   0.0005000000
884.0	   1.3631963199	   0.0005000000
886.0	   1.3631723199	   0.0005000000
888.0	   1.3631483199	   0.0005000000
890.0	   1.3631253199	   0.0005000000
892.0	   1.3631013199	   0.0005000000
894.0	   1.3630773199	   0.0005000000
896.0	   1.3630543199	   0.0005000000
898.0	   1.3630303199	   0.0005000000
900.0	   1.3630073199	   0.0005000000
902.0	   1.3629833199	   0.0005000000
904.0	   1.3629603199	   0.0005000000
906.0	   1.3629373199	   0.0005000000
908.0	   1.3629143199	   0.0005000000
910.0	   1.3628903199	   0.0005000000
912.0	   1.3628673199	   0.0005000000
914.0	   1.3628443199	   0.0005000000
916.0	   1.3628213199	   0.0005000000
918.0	   1.3627993199	   0.0005000000
920.0	   1.3627763199	   0.0005000000
922.0	   1.3627533199	   0.0005000000
924.0	   1.3627303199	   0.0005000000
926.0	   1.3627073199	   0.0005000000
928.0	   1.3626853199	   0.0005000000
930.0	   1.3626623199	   0.0005000000
932.0	   1.3626403199	   0.0005000000
934.0	   1.3626173199	   0.0005000000
936.0	   1.3625953199	   0.0005000000
938.0	   1.3625733199	   0.0005000000
940.0	   1.3625503199	   0.0005000000
942.0	   1.3625283199	   0.0005000000
944.0	   1.3625063199	   0.0005000000
946.0	   1.3624843199	   0.0005000000
948.0	   1.3624623199	   0.0005000000
950.0	   1.3624393199	   0.0005000000
952.0	   1.3624173199	   0.0005000000
954.0	   1.3623953199	   0.0005000000
956.0	   1.3623733199	   0.0005000000
958.0	   1.3623523199	   0.0005000000
960.0	   1.3623303199	   0.0005000000
962.0	   1.3623083199	   0.0005000000
964.0	   1.3622863199	   0.0005000000
966.0	   1.3622643199	   0.0005000000
968.0	   1.3622433199	   0.0005000000
970.0	   1.3622213199	   0.0005000000
972.0	   1.3621993199	   0.0005000000
974.0	   1.3621783199	   0.0005000000
976.0	   1.3621563199	   0.0005000000
978.0	   1.3621343199	   0.0005000000
980.0	   1.3621133199	   0.0005000000
982.0	   1.3620913199	   0.0005000000
984.0	   1.3620703199	   0.0005000000
986.0	   1.3620483199	   0.0005000000
988.0	   1.3620273199	   0.0005000000
990.0	   1.3620053199	   0.0005000000
992.0	   1.3619843199	   0.0005000000
994.0	   1.3619623199	   0.0005000000
996.0	   1.3619413199	   0.0005000000
998.0	   1.3619193199	   0.0005000000
1000.0	   1.3618983199	   0.0005000000
